StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Appliances_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,product,price,range,availability,reviews,servicing,brand,experience
09-10-22 20:27,09-10-22 20:43,R_2VPkBvgU8IW7Bqc,,,0.0,0.528188825,0.0,,Pune,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:39,09-10-22 20:43,R_21Ew4N2Tn8Y0TNH,,,0.0,0.528188825,0.0,,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:30,09-10-22 20:43,R_3PvgL3tu316AXZ0,,,0.0,0.528188825,0.0,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:30,09-10-22 20:43,R_20Thmc67JUJf8tX,,,0.0,0.528188825,0.0,,Lucknow,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
09-10-22 20:34,09-10-22 20:43,R_3gMfmtLT7dEVg4j,,,0.0,0.528188825,0.0,,New Delhi NCR,18-21,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:34,09-10-22 20:43,R_1Nwsc8Szf87LbIr,,,0.0,0.528188825,0.0,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,10-15 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
09-10-22 20:33,09-10-22 20:43,R_2RQjnzOtMAIU7EF,,,0.0,0.528188825,0.0,,New Delhi NCR,36-40,Female,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Government official,25-30 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:37,09-10-22 20:44,R_1LSirkYIRnmU0Rv,,,0.0,0.528188825,0.0,,Ahmedabad,36-40,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:37,09-10-22 20:44,R_27UKVLeatAajy7B,,,0.0,0.528188825,0.0,,Bangalore,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,5-10 Lacs,"Married, with kid(s)",Above 20 years old,,,,,,,,,
09-10-22 20:27,09-10-22 20:44,R_24tJGGG7Sg9scgs,,,0.0,0.528188825,0.0,,Mumbai,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,30-35 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:36,09-10-22 20:44,R_12MEL5mSAkxwDK8,,,0.0,0.528188825,0.0,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
09-10-22 20:27,09-10-22 20:44,R_1E0PESPKUwnRHoJ,,,0.0,0.528188825,0.0,,New Delhi NCR,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:24,09-10-22 20:44,R_0SYjOoUK9QRY0Ct,,,0.0,0.528188825,0.0,,Lucknow,46-50,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Service (Rural or Urban),Below 5 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
09-10-22 20:34,09-10-22 20:44,R_3EQBZUEDGZpKCxp,,,0.0,0.528188825,0.0,,Chennai,41-45,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Other occupations,Below 5 Lacs,"Married, with kid(s)","10-15 years old,16-20 years old",,,,,,,,,
09-10-22 20:37,09-10-22 20:44,R_28SUMF6GFaKsvd1,,,0.0,0.528188825,0.0,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
09-10-22 20:31,09-10-22 20:44,R_2wM4Z7iM2aoCfFX,,,0.0,0.528188825,0.0,,Lucknow,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,20-25 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
09-10-22 20:39,09-10-22 20:44,R_2tKYKTSipo661Hv,,,0.0,0.528188825,0.0,,Chennai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",20-25 Lacs,"Married, with kid(s)","10-15 years old,16-20 years old",,,,,,,,,
09-10-22 20:25,09-10-22 20:44,R_3qKFcftCNkhzeZm,,,0.0,0.528188825,0.0,,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
