text,text.1,text.2,text.3
,,Because I like the products of godrej very much it is very nice in long run with higher longevity. It is very good with better platform.,The security system provided by godrej is very useful and has a healthy preparation of lock with best possible ways to keep safety.
Average rating ,,,Good locks for home
,,"Their products and services are affordable, reliable ",Their products are of genuine quality 
They have good customer service. Product quality is also excellent.,,Love the product quality. Long lasting & efficient. Best customer service.,
,,,
,,Godrej interiors are very new to home,Godrej are more security features to home
,,,
,,I have not been satisfied from the furnituresnby godrej. They are doing well in electronics and accessories but i don't think that hey have understood the furnitures market,Safety is must. And Godrej safe lockers are trusted.
It is a very good brand and trustful,,It is very useful and helpful,
,,9,
60,,,
,,It's a good and reputable company like this ,It's a good and reputable company
The godrej product are somany time repair ,,The Godrej coustmer care is taken long time given response,
"Durable 
Best Customer care service 
Best Performance ",,I have no experience personally but l heard a lot of promotions about this brand.,
,,,It is a good international brand for security solutions and safe lockers. 
,,it is the brand i trusted most.,it is the brand i trusted most. it is safe to use.
,,Not any special.its a good brand,It's have good quality 
Its an average in my opinion,It is an excellent brand,,
"Because good service provide,",,,Because goods brands provide.
,Because their product is excellent.,Their products are very good. I have been using it for long!,
It's a Very good company,,,It's very trustworthy company about looking system
it have nice offers,,,because i used it nd m happy with it
It's eco-friendly and gives assurance to all customers ,It's very trustable and worth of money.,,
,,,35
Godrej is a trustable brand. I have used the godrej items in the near past. It was a good experience for me. Even I have used the godrej air power pocket. That's also good. So I will recommend this brand to my friends,,,I am currently using the Godrej safe in my home and also seen this safe in my relatives house. It is a trustable brand. Safe is durable. Locking system is just very good
,No reason ,,
I like those brands,,I like their brand quality ,
,,,
Good to handle,Very nice to handle,,
,,,
Godrej is a very famous and long standing brand with a good reputation,,"Godrej furniture is made of the best quality materials,it is good to look and durable also",
,Totally good but not effective ,Very good,
Godrej good but need to improve,,,Good but need to improve
,,,
,,THE PRODUCTS ARE OF HIGH QUALITY,The products are of high quality
,Because it is a good and reputed company ,,
,good locking system and long lasting ,long lasting and good design ,
,,It's items are very good and have reliable quality. ,It's product range are very genuine. 
,It's nice ,,It is durable
,Because it is secure my door and locker. ,,Because it is fit for my security. 
Think company is okayish,,,I have no idea about the products but owing to the company I think they may be good
,,,
Because I got negative reviews from my relatives comparing other brands,Because I am currently using godrej locks.... Till now there is no complaints,,
This is my personal opinion ,,,
,,It's good brand ,Good product 
,Godrej is a trustworthy brand and always use this brand ,,"Godrej and Boyce Manufacturing Company Limited operates as a multi-commercial service provider. The Company engages in construction, engineering, manufacturing consumer durables, aerospace, defense, logistics, technology, health care, tooling, process equipment, material handling, locking, and storage solutions."
