Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive,Appliances_label,Locks_label,Interio_label,Security_label
601,07-10-22 7:22,07-10-22 7:32,R_1ImxjFuGddGQt16,5,In my View Other Brands has more Features and are more Innovative Technology Based.,,,,,,,Lucknow,46-50,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Other occupations,5-10 Lacs,"Married, no kids ",,,0.007777667,0.216624677,0.775597632,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Positive,,,
602,07-10-22 7:10,07-10-22 7:39,R_OCZ31YREYUUqzy9,,,10,Because it is a big brand and it's quality is nice,10,Because it's quality are nice,,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)","10-15 years old,16-20 years old",,0,0.528188825,0,0.003993073,0.054932181,0.941074669,0.007749645,0.093081586,0.899168789,0,0.528188825,0,,Positive,Positive,
603,07-10-22 7:26,07-10-22 7:45,R_11hgmV64ibHATny,8,Because it ja rrally good brand,,,9,Because I like Godrej brand.it is trustworthy,,,Chennai,36-40,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",10-15 years old,,0.007559698,0.172135428,0.820304871,0,0.528188825,0,0.003073012,0.093781874,0.903145134,0,0.528188825,0,Positive,,Positive,
604,07-10-22 8:12,07-10-22 8:21,R_2OUpOLRbT5wOsdK,9,It is a good brand that I trust,,,,,,,Kochi,41-45,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Homemaker (non-gender sensitive),,"Married, with kid(s)",Below 10 years old,,0.002218563,0.049225051,0.948556423,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Positive,,,
605,07-10-22 7:59,07-10-22 8:29,R_1OmHAAnGesRqhEd,8,Godrej is a company particularly known for locks and personal care products not for the home appliences.,,,,,10,Godrej is an age-old brand with excellent reputation. It is trusted by everyone and it's keeping the reputation intact.,Kolkata,36-40,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,0.437225372,0.521957517,0.040817138,0,0.528188825,0,0,0.528188825,0,0.001895839,0.052689184,0.945414901,Neutral,,,Positive
606,07-10-22 8:36,07-10-22 8:47,R_33xP2BJWJ4g18QG,8,brand is good but not the best. ,10,locks r safe durable and lot of variety and options available. ,,,,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,0.566720784,0.370395452,0.062883779,0.009372455,0.27741316,0.713214397,0,0.528188825,0,0,0.528188825,0,Neutral,Positive,,
607,07-10-22 8:26,07-10-22 8:48,R_3lVvv3PocpdLNuN,9,We know Godrej is a premium brand but think it is also not unique ,,,10,"Nothing any cause but a score, no doubt it is a very good company. ",,,Kolkata,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Car/ Jeep/ Van",Shop or Store Owner,Below 5 Lacs,"Married, with kid(s)",Below 10 years old,,0.145465702,0.754427135,0.100107148,0,0.528188825,0,0.011379069,0.094139539,0.894481421,0,0.528188825,0,Neutral,,Positive,
608,07-10-22 8:43,07-10-22 8:53,R_Pu138TkUOhncETv,7,i know about this brand,,,,,,,Lucknow,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",10-15 years old,,0.143386558,0.780155242,0.076458238,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Neutral,,,
609,07-10-22 8:34,07-10-22 9:03,R_2bPjfHoVcN9sJUS,,,10,I like there products because they have good quality product,10,As i said before i like this brand because they have quality products,,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",30-35 Lacs,"Married, with kid(s)","10-15 years old,16-20 years old",,0,0.528188825,0,0.002712672,0.02693191,0.970355392,0.003086079,0.037491694,0.959422171,0,0.528188825,0,,Positive,Positive,
610,07-10-22 9:18,07-10-22 9:26,R_31YlvG0ZuaY52cx,,,7,Very comfortable with the same time I ,,,,,Bangalore,36-40,Female,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, with kid(s)",16-20 years old,,0,0.528188825,0,0.010732946,0.249759838,0.739507258,0,0.528188825,0,0,0.528188825,0,,Positive,,
