StartDate,EndDate,ResponseId,Appliances-Score,Locks-Score,Locks-Text,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Locks_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
13-10-2022 23:32,13-10-2022 23:39,R_21bIlJ6WTWWP14L,,10.0,Good quality ,0.0217298977,0.2667073011,0.7115628123,Promoter,Bangalore,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:22,13-10-2022 23:40,R_QiHO6u3DoeZ3G1z,6.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,36-40,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",10-15 years old,
13-10-2022 23:29,13-10-2022 23:40,R_8kyCJNVWkoVzSlr,9.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:32,13-10-2022 23:41,R_9v2FH0JnSSwRvXz,,,,0.2395022064,0.5281888843,0.0,,Pune,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:34,13-10-2022 23:41,R_3j3aB7UL1WBevMm,10.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:30,13-10-2022 23:41,R_r0B4iojK488aJUd,6.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,18-21,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine",Student,,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:32,13-10-2022 23:42,R_6A94pvOvAAlvjfX,6.0,,,0.2395022064,0.5281888843,0.0,,Pune,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:31,13-10-2022 23:42,R_1g7aEipRbVqIMNF,,,,0.2395022064,0.5281888843,0.0,,Kochi,26-30,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Student,,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:27,13-10-2022 23:42,R_10P3bNfkbOIwIXm,,,,0.2395022064,0.5281888843,0.0,,Bangalore,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",10-15 years old,
13-10-2022 23:34,13-10-2022 23:42,R_2y9jnGl8wHtOTqU,10.0,,,0.2395022064,0.5281888843,0.0,,Hyderabad,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)","16-20 years old,Above 20 years old",
