StartDate,EndDate,ResponseId,Appliances-Score,Interio-Score,Interio-Text,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Interio_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
13-10-2022 23:52,14-10-2022 00:08,R_2Vw0diHL6zRnkVI,,10.0,Trustworthy brand. Very reliable and good products. Amazing customer service.,0.0023695631,0.0279020853,0.9697283506,Promoter,Hyderabad,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:47,14-10-2022 00:09,R_2zCPZ86LdNlmKyA,5.0,4.0,Poor servicing ,0.7801745534,0.1976103336,0.0222151577,Detractor,Kochi,31-35,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Personal computer/ Laptop",Other occupations,Below 5 Lacs,"Married, with kid(s)",10-15 years old,
13-10-2022 23:56,14-10-2022 00:09,R_C79bHP2i5s2HHCp,,,,0.2395022064,0.5281888843,0.0,,Hyderabad,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,
14-10-2022 00:05,14-10-2022 00:09,R_voaKjGOpSiPwKo9,,,,0.2395022064,0.5281888843,0.0,,Bangalore,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:36,14-10-2022 00:09,R_23WrPKbieBcJnfq,,10.0,Godrej is one of the best furniture brand that manufactured sturdy furniture.,0.0016976917,0.0274192318,0.9708829522,Promoter,Ahmedabad,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",
14-10-2022 00:02,14-10-2022 00:09,R_3fkK22AqBCObagF,,,,0.2395022064,0.5281888843,0.0,,Bangalore,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:54,14-10-2022 00:09,R_cUNGnmJCvGEw0TL,7.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Single (includes divorced/ widowed), with kid(s)",Below 10 years old,
13-10-2022 23:52,14-10-2022 00:10,R_2D7ktCQoV8CJJU6,6.0,7.0,Have not heard much about this brand in furniture and home appliances category ,0.3659233451,0.5855549574,0.0485217124,passive,Bangalore,41-45,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Homemaker (non-gender sensitive),,"Married, with kid(s)","10-15 years old,16-20 years old",
13-10-2022 23:59,14-10-2022 00:10,R_2CJ5mACbbc7qRpm,10.0,10.0,Best sellers,0.0169162098,0.466075927,0.5170077682,passive,Bangalore,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",
13-10-2022 23:25,14-10-2022 00:10,R_2X7Kph4DJlry9Pq,10.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Below 10 years old,
