0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,score,text,text_Negative,text_Neutral,text_Positive,label,score1,text.1,text.1_Negative,text.1_Neutral,text.1_Positive,label1,score2,text.2,text.2_Negative,text.2_Neutral,text.2_Positive,label2,score3,text.3,text.3_Negative,text.3_Neutral,text.3_Positive,label3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
28,05-10-22 9:35,05-10-22 9:39,R_6nHYAxHP7rLeGXL,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,5-10 Lacs,"Married, no kids ",,,Business owner or Industrialist with 50 or more employees
29,05-10-22 9:32,05-10-22 9:39,R_pxZERepvuKv9wcN,9.0,It is a premium brand .,0.025401205,0.619448066,0.35515067,Revised Detractor,9.0,It is high quality brand ,0.010153002,0.261644989,0.728201985,Promoter,9.0,,0.010153002,0.261644989,0.728201985,Promoter,9.0,,0.010153002,0.261644989,0.728201985,Promoter,Chennai,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Middle/ Senior management
30,05-10-22 9:30,05-10-22 9:39,R_3JLBEXeJtOOjO4R,,,0.239502162,0.528188825,0.232308999,  ,,I trust the brand and it's very secure and safe,0.001519617,0.049853988,0.948626339,  ,,,0.001519617,0.049853988,0.948626339,  ,,,0.001519617,0.049853988,0.948626339,  ,Kochi,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Middle/ Senior management
31,05-10-22 9:32,05-10-22 9:39,R_2sXyma0CzxkLSkE,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,Godrej is the well known brand of security,0.239502162,0.528188825,0.232308999,  ,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Junior/ Supervisory,Below 5 Lacs,"Married, with kid(s)",10-15 years old,,Executive-Junior/ Supervisory
32,05-10-22 9:32,05-10-22 9:39,R_eKzlhFr6jBxTZNT,6.0,this is what I heard about it,0.097054102,0.838305414,0.064640477,Detractor,6.0,,0.239502162,0.528188825,0.232308999,Detractor,6.0,,0.239502162,0.528188825,0.232308999,Detractor,6.0,,0.239502162,0.528188825,0.232308999,Detractor,Chennai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",Below 10 years old,,Executive-Middle/ Senior management
33,05-10-22 9:31,05-10-22 9:40,R_C8D2Ke28FPD1NPr,,,0.239502162,0.528188825,0.232308999,  ,,Because i like that very much due to its best durability and toughness,0.001749387,0.032146163,0.966104507,  ,,Because they provide very modern and good looking furniture,0.001749387,0.032146163,0.966104507,  ,,,0.001749387,0.032146163,0.966104507,  ,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)","16-20 years old,Above 20 years old",,Executive-Middle/ Senior management
34,05-10-22 9:32,05-10-22 9:40,R_2zJ7SNuKjeRFK4s,,,0.239502162,0.528188825,0.232308999,  ,,Because it is a very good brand and trustworthy ,0.002960712,0.052654818,0.944384456,  ,,Because it is a very good brand and trustworthy ,0.002960712,0.052654818,0.944384456,  ,,,0.002960712,0.052654818,0.944384456,  ,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, with kid(s)",Below 10 years old,,"Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant"
35,05-10-22 9:32,05-10-22 9:40,R_21ySbou1hkdVwk3,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,This is very trusted brand,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Middle/ Senior management
36,05-10-22 9:33,05-10-22 9:41,R_2wMh9tdKEVzyXQe,7.0,Service & availability is poor.,0.918630421,0.074914292,0.006455265,Detractor,7.0,,0.239502162,0.528188825,0.232308999,Detractor,7.0,,0.239502162,0.528188825,0.232308999,Detractor,7.0,,0.239502162,0.528188825,0.232308999,Detractor,Chennai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Middle/ Senior management
37,05-10-22 9:32,05-10-22 9:41,R_2y967cTpzK05OJo,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,Because I use Godrej ,0.239502162,0.528188825,0.232308999,  ,,Because I like it as I use it.,0.239502162,0.528188825,0.232308999,  ,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,"Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant"
