Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive
1090,09-10-2022 20:25,09-10-2022 20:43,R_2sTQhU0sAenpz0e,,,10.0,Trusted company provides good services Goldrej manufacturer safe and quality locks,10.0,Safe and a modern company produces quality products,,,Lucknow,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.0034948292,0.078820616,0.9176846147,0.0092230719,0.2243601382,0.7664167285,0.0,0.0,0.0
1091,09-10-2022 20:33,09-10-2022 20:43,R_Do8aIlwuQj9EDRv,,,,,9.0,Has a reputed brand name,9.0,Has a reputed brand name,New Delhi NCR,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Shop or Store Owner,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,0.0,0.0,0.0,0.0,0.0,0.0,0.1092633456,0.8390296698,0.0517069399,0.1092633456,0.8390296698,0.0517069399
1092,09-10-2022 20:35,09-10-2022 20:43,R_1FrNfpDAImPMGpl,,,,,,,9.0,Good brand,Mumbai,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",20-25 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178173911,0.2643619776,0.717820704
1093,09-10-2022 20:30,09-10-2022 20:43,R_2w7tsv7p1YtpM9X,,,9.0,Its very good,8.0,Nice,,,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Married, no kids ",,,0.0,0.0,0.0,0.0025894018,0.0196865071,0.9777241945,0.0660381168,0.3544526696,0.5795091391,0.0,0.0,0.0
1094,09-10-2022 20:26,09-10-2022 20:43,R_1GZy3b1f1tpptJv,,,,,10.0,Because it is a brand that i mostly trust ,10.0,It is the best security solutions for home . The most trusted brand ,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0,0.0,0.0,0.0043540355,0.1530711055,0.8425748348,0.0022603481,0.0457647108,0.9519750476
1095,09-10-2022 20:27,09-10-2022 20:43,R_2VPkBvgU8IW7Bqc,,,10.0,Very safe and secure locks,,,10.0,Very safe and secure and reputable brand,Pune,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.008803349,0.2160099596,0.7751866579,0.0,0.0,0.0,0.0032282853,0.1106901467,0.8860813975
1096,09-10-2022 20:39,09-10-2022 20:43,R_21Ew4N2Tn8Y0TNH,,,,,7.0,,,,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1097,09-10-2022 20:30,09-10-2022 20:43,R_3PvgL3tu316AXZ0,,,10.0,"During the interview remain calm, be positive and feel confident from within. Face your interview panel with confidence and there will be no looking back after it. Since there are no specific questions asked in a Godrej interview, no specific preparation is required",,,10.0,"Godrej and Boyce Manufacturing Company Limited operates as a multi-commercial service provider. The Company engages in construction, engineering, manufacturing consumer durables, aerospace, defense, logistics, technology, health care, tooling, process equipment, material handling, locking, and storage solutions.",New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.0095619885,0.2726811767,0.7177567482,0.0,0.0,0.0,0.0275818296,0.8701925278,0.102225557
1098,09-10-2022 20:30,09-10-2022 20:43,R_20Thmc67JUJf8tX,,,,,8.0,Excellent material used and finishing is also good ,,,Lucknow,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.0,0.0,0.0,0.0045891507,0.0524522066,0.9429585338,0.0,0.0,0.0
1099,09-10-2022 20:34,09-10-2022 20:43,R_3gMfmtLT7dEVg4j,,,9.0,I love it and easy to use,,,10.0,"Easy to use 

Very helpful ",New Delhi NCR,18-21,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,0.0,0.0,0.0,0.0027066565,0.0100855939,0.9872077107,0.0,0.0,0.0,0.0055689011,0.0717193484,0.92271173
1100,09-10-2022 20:34,09-10-2022 20:43,R_1Nwsc8Szf87LbIr,,,9.0,Great brand value ,,,7.0,Great brand value ,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,10-15 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,0.0,0.0,0.0,0.0073291236,0.1122300923,0.880440712,0.0,0.0,0.0,0.0073291236,0.1122300923,0.880440712
